Vis,ErrorScore
barchart_vert,6.884170519108435
barchart_vert,6.928479415615406
barchart_vert,6.92233662340161
barchart_vert,6.930871710500243
barchart_vert,6.931807340467668
barchart_vert,6.896332403909942
barchart_vert,6.9286664123049535
barchart_vert,6.927690829662513
barchart_vert,6.900053989311719
barchart_vert,6.928835578903322
barchart_hor,6.931558310122962
barchart_hor,6.930290379382612
barchart_hor,6.920919924666578
barchart_hor,6.888235882956371
barchart_hor,6.927481690381765
barchart_hor,16.909709143782095
barchart_hor,6.928271613084896
barchart_hor,6.851228494760261
barchart_hor,6.921940087965625
barchart_hor,6.929432478984782
angles,7.769011321097015
angles,6.756556322524087
angles,6.7431513941125
angles,5.2143191208007655
angles,6.509775004326937
angles,6.047123912114026
angles,4.098032082960526
angles,6.231221180711185
angles,7.8081597728683745
angles,6.859534786382653
angles,4.531381460516312
angles,6.729620743553038
angles,6.306061689428342
angles,6.729620743553038
angles,7.8081597728683745
angles,16.906586773464802
angles,7.615629636968097
angles,6.002815015607054
angles,7.6082548219779085
angles,0.16992500144231237
volume,4.400879436282184
volume,5.885696373339395
volume,6.7431513941125
volume,6.61654884377899
volume,5.396604781181859
volume,4.531381460516312
volume,6.445014845868423
volume,6.211888294546004
volume,5.396604781181859
volume,4.531381460516312
volume,5.527477006060396
volume,1.0874628412503393
volume,4.531381460516312
volume,5.396604781181859
volume,4.531381460516312
volume,16.909554736703527
volume,5.885696373339395
volume,6.7431513941125
volume,6.61654884377899
volume,6.61654884377899
